family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10
1.0,1,90,134,241,363,,,,,
1.0,2,162,233,275,371,,,,,
1.0,3,5,24,58,106,207,379,390,,
1.0,4,6,39,389,,,,,,
1.0,7,9,11,64,94,204,221,352,,
1.0,8,49,78,178,263,351,370,,,
1.0,10,29,149,393,,,,,,
1.0,12,271,289,304,353,378,380,,,
1.0,13,373,,,,,,,,
1.0,14,114,367,372,396,,,,,
1.0,15,175,404,,,,,,,
1.0,16,17,176,236,247,340,,,,
1.0,18,68,146,225,321,330,391,,,
1.0,19,239,285,354,,,,,,
1.0,20,31,286,302,399,400,,,,
1.0,21,23,38,61,218,343,,,,
1.0,22,53,347,,,,,,,
1.0,25,84,215,269,,,,,,
1.0,26,136,168,260,376,,,,,
1.0,27,125,202,284,336,,,,,
1.0,28,43,82,184,272,274,296,325,,
1.0,30,55,60,137,294,328,,,,
1.0,32,86,278,366,398,,,,,
1.0,33,52,143,181,208,,,,,
1.0,34,87,249,307,,,,,,
1.0,35,50,185,388,,,,,,
1.0,36,318,,,,,,,,
1.0,37,81,141,148,243,,,,,
1.0,40,92,287,381,,,,,,
1.0,41,67,104,154,273,323,346,,,
1.0,42,109,112,203,,,,,,
1.0,44,71,83,135,205,213,214,288,374,
1.0,45,216,293,297,300,,,,,
1.0,46,47,79,170,209,327,,,,
1.0,48,265,329,386,,,,,,
1.0,51,102,179,280,291,,,,,
1.0,54,56,63,139,180,314,326,,,
1.0,57,73,270,,,,,,,
1.0,59,69,235,305,345,,,,,
1.0,62,121,160,279,395,,,,,
1.0,65,144,227,230,242,277,335,,,
1.0,66,98,119,261,324,,,,,
1.0,70,357,401,,,,,,,
1.0,72,88,107,113,151,177,322,,,
1.0,74,159,282,283,333,369,405,,,
1.0,75,76,97,186,192,240,258,387,,
1.0,77,201,,,,,,,,
1.0,80,89,385,,,,,,,
1.0,85,129,200,256,311,339,406,,,
1.0,91,99,312,,,,,,,
1.0,93,103,195,308,364,,,,,
1.0,95,120,130,257,,,,,,
1.0,96,161,191,295,301,309,319,358,402,
1.0,100,108,115,224,251,298,397,,,
1.0,101,128,231,355,,,,,,
1.0,105,126,138,152,359,,,,,
1.0,110,131,163,189,217,310,349,356,362,
1.0,111,331,348,,,,,,,
1.0,116,123,212,255,383,,,,,
1.0,117,157,,,,,,,,
1.0,118,142,292,365,,,,,,
1.0,122,306,,,,,,,,
1.0,124,166,193,196,262,267,276,290,316,375
1.0,127,133,155,171,219,237,,,,
1.0,132,145,334,,,,,,,
1.0,140,153,172,246,344,384,,,,
1.0,147,210,303,360,,,,,,
1.0,150,268,350,382,403,,,,,
1.0,156,234,341,,,,,,,
1.0,158,164,228,264,361,,,,,
1.0,165,169,259,332,,,,,,
1.0,167,266,299,,,,,,,
1.0,173,183,199,229,342,,,,,
1.0,174,407,,,,,,,,
1.0,182,190,211,223,253,338,394,,,
1.0,187,197,220,313,,,,,,
1.0,188,198,252,337,,,,,,
1.0,194,317,,,,,,,,
1.0,206,315,,,,,,,,
1.0,222,244,368,,,,,,,
1.0,226,320,,,,,,,,
1.0,232,238,250,254,281,377,,,,
1.0,245,248,392,,,,,,,
